source_name,source_type,title,link,published,fetched_at,domain
GNews,rss,Unisba dan Unpas Bantah Isu Aparat Masuk Kampus saat Ricuh di Bandung - CNN Indonesia,https://news.google.com/rss/articles/CBMizgFBVV95cUxQdy1LNWgycmZTZTlJWEZvd2lMcmw1Y2o2QjkxZkxidkF3bWtWS2xYcUUwbGhxT1huODVPSEczZGJsWF96MW9xSm1SNEtUTjJPZDJUUGFHblEtdVNDU2xHNDVVaWVQSXVRR1hmQmRoVzJIWFoyeVFNUnJRY0Rkd2RncGNJcEllZWJvRi1CMmR5MDh4Y0JYdWNpN0Y1ZmF0eV96NG1MZ2Y1c1JyYlo5S29BY1dWa0pqZXNoWDVsbEhqOFpMbXNRRHpRYnVfd3pxd9IB0wFBVV95cUxNWV9IZFdiTFNucFhBTDUtSDFkYjR2UHZyWnl6bjJaaUpRN1U4SXByZU9nREFZajEtd3RVQWp6cU9OZEdGZWJmSGswcGFYb25UWGtkb2xaY2Vwd08zUkxBVjNPSmtJWGI1d3Z3LXVjTDFkUzFBdWRrYjZxUWJqNlRoSjU4NTRsc3Z2dWhtRWFBSkFNX0JiT3ByLVp0Uy1RajBOUUtDYWc4X1BrOTlhQlFqazE0bmFERU80NnVxQ1FoQldVdmdCdDhfY3NkZTgzdWpycUhB?oc=5,2025-09-02 10:19:19 +0700,2025-09-03 22:21:58 +0700,news.google.com
GNews,rss,Tim Media Service - Tirto.id,https://news.google.com/rss/articles/CBMiX0FVX3lxTE9tOUFCY1NodmFIV2xTbGp6S1Q3N3c0bEFFSl9IdU0tdjJSQTNGN1BvNHBBTUNzR2gwa1JYaTdNcWNZenI2a3hLZEM4WFJPaFlGZFJJY0Jod3RxZEtuWTV3?oc=5,2025-09-02 10:11:26 +0700,2025-09-03 22:21:58 +0700,news.google.com
GNews,rss,"Misteri 5 Orang Ditemukan Terkubur di Dalam Rumah di Indramayu, Warga Duga Korban Pembunuhan - Kompas.com",https://news.google.com/rss/articles/CBMixAFBVV95cUxPdjZnZFpjMHNKNGFEaGxHbnRPOV9MaWpyc1J3TmN4d3NEc0g3YkdQNGtiQ2V3bGxlS2lDM2RXMEsxNjBFZllmOHpRRUNoSDI3U1JrMUtHdnRldmE4amNLTTJCT1hpa2ZoaDRDeTkyRTVFeEhjUWtCU0ZhZnUwVDluTUNuWkdFZXFMWk0yeW5hNXZuQkYyZ3YyUy1BU0stODdxUS0wSWpmd1VTNWxCU2I4UVhJcTNrSE1ZdDVlVDFPeXVuLXJr?oc=5,2025-09-02 10:11:00 +0700,2025-09-03 22:21:58 +0700,news.google.com
GNews,rss,"Polisi: Gas Air Mata Ditembak ke Jalan, Asap Tertiup Angin ke Unisba - CNN Indonesia",https://news.google.com/rss/articles/CBMiygFBVV95cUxPVHZ1UzN4X0syZXo1bmpSU1oxc09mM3E4OUQxMTZWVmpBRUZtNUkyUWYwTDJ3MHVjaHE2X3ZaQ1VjUndXZ0ZQaXlaMVNMYXNKdlloR0h0ZGZFbjZockUyUEVNRjgwLVE5WkhKQlIwREY2TVVoRXlRMVZIWVpvX0o0MGZpZFRNZU44MGZRRG9YSHVMUXhTRlJoLU1sakpQTmtvOUR4bDcyWHJzSGtqdFVBRVI4aWpHaGstc1ExZEVIN2U2cDJxLTNCd0Z30gHPAUFVX3lxTE1DNnAycUhWWV9pNzQyZFBMNktnQkxyTHZ5RzlZZDhyTDhsX1ZxTzFXR1FJT0JibTE4Y2F6QUl4QU90NVJKcS15T2VQa1BqVEltWWlWcGN1SDdVWnlqRThtbkFIR243RXFkaTJ1RlFZc0tJTTJWcHktLXlDWjJHZUNhSVRVM0R4bzBYM1dDVlBoWDA0N1VsRGZqNnIxa2JvNWxmVlNETlBPTXF2ZFNhUEJSNjg0aUZmUTBJYl9nYUtsX0lVTmlxWFJCa1BoZE9qOA?oc=5,2025-09-02 09:57:24 +0700,2025-09-03 22:21:58 +0700,news.google.com
CNNI Ekonomi,rss,Kerugian Imbas Perusakan Fasilitas Umum di DKI Saat Demo Tembus Rp50 M,https://www.cnnindonesia.com/ekonomi/20250902094026-532-1269113/kerugian-imbas-perusakan-fasilitas-umum-di-dki-saat-demo-tembus-rp50-m,2025-09-02 09:55:38 +0700,2025-09-03 22:21:58 +0700,cnnindonesia.com
GNews,rss,BEM SI Kerakyatan Pastikan Tidak Gelar Demo di Jakarta Hari Ini - Kompas.com,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPOGxBVjR4SlRraWJ5ajVzdjhTbEZTd1hoVnphMUVFZ19nV2gxRF9zQ3JTV3M4VjJ6SHNZVlRrOFoxSE0yTzRNTkswQnJxTmMtX0tZRjhQcHVPQWs1bkJQbTNlcC03QW42Z2U1cmFyWmZKSUVSOGlLOGlzT1c2NW92Q0xrVWdqSDAta3Rrc0l2dHFMemNrTzBvdU5XaW5jbVlBd05RWTFWd0RyQWtqQmN3d2xYNHYwYk9nLURv?oc=5,2025-09-02 09:48:00 +0700,2025-09-03 22:21:58 +0700,news.google.com
GNews,rss,Calvin Verdonk Gabung Lille: Sapa Fans Pakai Bahasa Indonesia - detiksport,https://news.google.com/rss/articles/CBMitgFBVV95cUxPN0szaHhweDdDRTBvaHMtMUtfa0tCX1Y1blpEWENvUFlTR1FweTNuSkxMTTNjWGVGMW81MTBzeVVHLUYzdFBtOWQzYTZZVktmNl9oRXk4cnh2aUNCcDZfRkJCMWlUR3VWdHVPYU5kcTJoMUpZaVNpanRMTzZobFdfS1JjYjZrOXQ2cUM3NkhMS25mc1VDYWNfOXI0dVFNYXRpdlY2TmUzZU50OUZGZ1BLaVd2Z01yQdIBuwFBVV95cUxOOHlTOUFaSm1QWkRDeWFndWlFOG1GV2VRbTFKdC1ueF9SMy1ub0FpaFZmNU9FUk9sVGJ4eWdBSXJOZXJDcmlCZ29TQlJIRWFwdmVFSEtTbjJXa1ZDUlhGOGVEVW5QSGYtUV9rNjJSX19UOGhnX1JncEs4UXd4TGY3M0d3Y3FQazVEZGZTeHRzNTZoMEk0RzA4c3JwNTJibVh1cHRVVXRlTlg5ZVg1bjFJMmJtRXJuREM5b0RR?oc=5,2025-09-02 09:45:18 +0700,2025-09-03 22:21:58 +0700,news.google.com
GNews,rss,Alasan Polisi Tembak Gas Air Mata di Area Kampus Unisba dan Unpas - CNN Indonesia,https://news.google.com/rss/articles/CBMiyAFBVV95cUxPWTlkOVAwYWpSX2VCbktmZzVoNFJ5d2J2Vmt6SjFwWTRlS1I1dXp3QjNUZWtpM3JkbmVuZDVqd3l6dmZHNzI1Ym9aRnQyR0hfb3h6VGFnekNGdmhjb01MWkdmX3dJUkE3cUJZUUdwODd0bjFCZzlvS0ViU2lRRDlfWWlBcEREUkJLeDg5VnBlT2MtbUdIRGhUTmJIbVl0dkMyWGRVM25sdW5DSU14bTR3UU9ILTAyVEtuc0NMOGtjbTlHZU15T3hvZtIBzgFBVV95cUxPTWlMTmt5SlNLYjc4X1NmQ2tQc2VYdVNnMW52QWJuRVhyUWU0SHFMVkthTFNVMVd4ZHdFSmt0WDBjaWxXYllsYU5pN1lzUk4zbGVyanBXZ3VNUVE5YkF1VjA3R1FFNTJ0ckE5RUFLa1lEUEJIRGFoZ0JrSnpmM0d6dDBfOGg1RnY1S0tKTHdUWjJxekFxT3NPWTI5ZkZYMnNRRHI0bm9WVVBJNmRxOWlUZy1GN3kySEY1TE00SG82YkZwZFZxNWpseWh1a003dw?oc=5,2025-09-02 09:43:54 +0700,2025-09-03 22:21:58 +0700,news.google.com
GNews,rss,Tim Media Service - Tirto.id,https://news.google.com/rss/articles/CBMiX0FVX3lxTE04Y25fRHFXN2xCTG5mbWlxSnltbXgwODA1MGpNalZqUW0zTjNCa3hKNkxMWTN4Y1pVUjVjZmcwOF9HZHlKQXpZUkZpVjhMX0l1cmRoRlNISkt3U2FHNXlr?oc=5,2025-09-02 09:38:05 +0700,2025-09-03 22:21:58 +0700,news.google.com
GNews,rss,Berita dan Informasi Hard News Terbaru Hari Ini - Tirto.id - Halaman 1912 - Tirto.id,https://news.google.com/rss/articles/CBMiVEFVX3lxTE9lRG1ncFR6YUpKelhfWWx6bGtKOXBmMG9oWGQ4Wm5RV1NBZFVtLXB1SU5sVjYwZHJlOUtoVk9Ub21xU1ZaUFZ3aVdsM0Z5OWNJMllUaA?oc=5,2025-09-02 09:38:05 +0700,2025-09-03 22:21:58 +0700,news.google.com
